日期,收盘,开盘,高,低,交易量,涨跌幅
2019年10月14日,14.35,14.26,14.43,14.15,9.9313,-0.14%
2019年12月24日,18.44,18.44,18.57,18.34,9.829,0.11%
2019年7月5日,16.74,16.52,16.8,16.4,9.5643,0.66%
2019年6月19日,15.19,15.23,15.34,14.95,9.5503,0.20%
2018年5月4日,9.99,10.18,10.28,9.86,9.5454,-0.89%
2019年10月15日,14.51,14.44,14.63,14.36,9.4039,1.11%
2018年4月5日,10.98,11,11.05,10.75,8.933,0.09%
2018年5月7日,10,10.01,10.14,9.86,8.7776,0.10%
2018年4月23日,11.19,11.29,11.46,11.05,8.6778,0.00%
2018年5月3日,10.08,10.19,10.46,10,8.4418,-1.75%
2018年4月13日,11.4,11.6,11.69,11.32,8.0395,-1.89%
2018年5月8日,10.27,10.05,10.49,9.95,7.3415,2.70%
2019年10月22日,14.56,14.86,14.9,14.56,7.0321,-2.02%
2018年4月6日,10.94,10.95,11.03,10.85,6.8472,-0.36%
2018年4月17日,11.32,11.35,11.4,11.16,6.3505,-0.09%
2018年4月20日,11.19,11.25,11.31,11.06,6.2565,-1.41%
2018年4月18日,11.35,11.44,11.5,11.29,5.8236,0.27%
2018年5月1日,10.58,10.84,11.04,10.41,5.8101,-3.11%
2018年4月16日,11.33,11.41,11.5,11.33,5.6204,-0.61%
2018年5月2日,10.26,10.52,10.64,10.21,5.5873,-3.02%
2018年4月27日,10.61,11,11.1,10.61,4.9507,-3.55%
2018年4月19日,11.35,11.4,11.49,11.28,4.3305,0.00%
2018年4月26日,11,11.06,11.19,10.85,3.4344,0.92%
2020年7月6日,44.14,51.05,51.12,43.41,222.5,-8.39%
2019年4月3日,18.08,18.27,18.6,17.98,216.6,0.17%
2018年6月14日,20.5,20.69,22.7,19.6,195.4,2.14%
2018年11月21日,15.14,13.79,16.13,13.75,194.6,11.32%
2018年8月28日,13.08,12.85,13.75,12.64,194.4,13.44%
2020年5月29日,32.43,30.86,32.77,30.44,191.6,5.50%
2018年10月3日,14.37,15.15,15.5,14.03,180.3,7.96%
2019年2月28日,18.98,20.9,21.5,18.54,174.7,-4.43%
2019年5月14日,15.39,16.69,16.7,14.82,167.4,-5.06%
2018年5月24日,13.85,14.35,15.49,13.45,166,11.33%
2020年6月19日,44.72,44.19,45.95,43.65,151.5,4.95%
2020年5月19日,35.22,33.06,36.22,31.4,151.2,4.63%
2018年6月15日,19.65,20.57,21.35,18.82,140.6,-4.15%
2018年12月21日,13.3,15.18,15.5,13.16,138.8,-9.09%
2020年3月18日,21.01,21.59,23.89,19.25,138.6,-13.72%
2018年6月21日,16.44,18.5,18.54,16,132,-11.33%
2020年1月2日,20.95,19.47,21.89,19.3,126.7,12.51%
2018年11月1日,14.19,13.85,15.16,13.03,123.4,5.11%
2018年6月11日,18.42,19.01,19.35,17.36,119.9,-2.80%
2018年7月12日,14.26,13.2,14.4,12.95,118,11.58%
2019年4月4日,17.23,18.03,18.19,16.92,116.6,-4.70%
2020年2月6日,26.34,23.66,26.72,23.16,116.4,13.24%
2020年1月3日,22.08,20.55,22.59,20.53,115.3,5.39%
2020年2月18日,27.13,29,29,26.65,114.5,-5.44%
2020年2月26日,27.57,27.6,29.28,27.07,112.8,3.18%
2020年5月20日,32.7,35.86,36.38,32.23,112,-7.16%
